dataset,domain,family,rate,mase_native,mase_phase_filled,mase_persistence,mase_seasonal_last,mase_seasonal_median,mase_equal_ensemble,mase_gate_rate,mase_gate_uncertainty,mase_gate_full,mase_source_best_fixed,mase_oracle_pair,mase_replay_clean,mase_replay_matched,coverage80,width80_scaled,quantile_crossing
ETTh2,transformer,tail,0.125,1.451317660445259,1.4113388671800182,1.8300441936622016,1.5658324505607542,1.3967493037848677,1.3960546908061746,1.451317660445259,1.4360238993253107,1.425090065228516,1.4113388671800182,1.2612981270466366,1.473919114816613,1.4942333924394051,0.661954365079365,3.1742054139928775,0.0
ETTh2,transformer,tail,0.25,1.5116714233170907,1.426872830921223,1.8768003569015663,1.6047112346961585,1.4261097569308991,1.442189344576344,1.5116714233170907,1.4862259217545173,1.4810766538758875,1.426872830921223,1.3307470107417225,1.4371739041614,1.4762307434004152,0.6741071428571429,3.323395166807953,0.0
ETTh2,transformer,tail,0.5,1.5272838266891684,1.483281182722247,1.7812105518043562,1.6142425309488846,1.4850843691380553,1.4756965935966873,1.5272838266891684,1.4907588835832124,1.5315937891363545,1.483281182722247,1.3697155715917468,1.5160436447611403,1.5676341026027432,0.6485615079365079,3.500931400796211,0.0
electricity,electricity,clean,0.0,1.078238662439893,1.078238662439893,5.869465392772437,1.100852109984751,1.281150113478495,1.0885125522583803,1.078238662439893,1.0917967152963215,1.0780583701067779,1.078238662439893,0.9628730852630353,1.078238662439893,1.078238662439893,0.681640625,2.7148627173535878,0.005208333333333333
electricity,electricity,middle,0.125,1.082648676469897,1.0710929928127346,5.869465392772437,1.100852109984751,1.2807947505847959,1.0885221382530157,1.082648676469897,1.0856791484224846,1.080032967486806,1.0710929928127346,0.9626661098740336,1.082648676469897,1.082648676469897,0.7146267361111112,2.9086428228482917,0.005208333333333333
electricity,electricity,middle,0.25,1.0911086722351415,1.064086052766177,5.869465392772437,1.100852109984751,1.2795305315656378,1.0943633287912418,1.0911086722351415,1.0911086722351415,1.1178543624009165,1.064086052766177,0.9573473324356683,1.0911086722351415,1.0911086722351415,0.6979166666666666,2.8138097583728086,0.0
electricity,electricity,middle,0.5,1.106431748788279,1.0558267317402485,5.869465392772437,1.100852109984751,1.2294166647093556,1.0680088505860021,1.106431748788279,1.114550842133706,1.1300728306882837,1.0558267317402485,0.9442173610172739,1.106431748788279,1.106431748788279,0.7022569444444445,2.968941524505635,0.0
electricity,electricity,random,0.125,1.1643157632081134,1.0906636892633288,5.861541403211006,1.1332594451422182,1.2918598694195647,1.1348235945728098,1.1643157632081134,1.164788369012738,1.1447838953348404,1.0906636892633288,0.9988897268473457,1.1643157632081134,1.1643157632081134,0.7953559027777778,4.491690199004276,0.0
electricity,electricity,random,0.25,1.2922845318881615,1.0995189415440936,5.869092728121453,1.1795173510860713,1.3020139322514774,1.1942522291804627,1.2922845318881615,1.290075370898752,1.2271777267712594,1.0995189415440936,1.0462049141275023,1.2922845318881615,1.2922845318881615,0.8547453703703703,6.041308001174644,0.0
electricity,electricity,random,0.5,2.1289751051931307,1.219479624069793,5.854384159147212,1.2463558061459916,1.3360854705865122,1.5475660427775946,2.1289751051931307,2.1289751051931307,1.934823263030841,1.219479624069793,1.2139265662286993,2.1289751051931307,2.1289751051931307,0.867259837962963,7.7548072371170065,0.0
electricity,electricity,tail,0.125,1.5629658454890663,1.4177672843498248,5.552793854336007,1.437096671954306,1.3707376089942622,1.3689514533781086,1.5629658454890663,1.5674114487017714,1.4570539801833478,1.4177672843498248,1.1492674637661677,1.3892269694999575,1.3592813929329692,0.6970486111111112,5.064768542972806,0.005208333333333333
electricity,electricity,tail,0.25,1.5646625850701457,1.465374264144167,6.140330041920616,1.5747173342703686,1.4520545743800668,1.415030663536011,1.5646625850701457,1.5622979454469412,1.5374562826656983,1.465374264144167,1.23599486446367,1.4968178718496492,1.5260831903854106,0.6751302083333334,4.350866953504094,0.0
electricity,electricity,tail,0.5,1.6849359685606355,1.6311180555015594,5.918510005037373,1.601458440340993,1.6133078489039618,1.568846302179536,1.6849359685606355,1.678458605099664,1.6584199272897555,1.6311180555015594,1.4220203935534483,1.639658377129285,1.7144317727917373,0.7339409722222222,4.960391162249807,0.005208333333333333
traffic,traffic,clean,0.0,0.6603456701374645,0.6603456701374645,2.91815542464338,1.0443199773426384,0.9673874733313683,0.7480996710013317,0.6603456701374645,0.6603456701374645,0.674246117722031,0.6603456701374645,0.5579657131437085,0.6603456701374645,0.6603456701374645,0.763671875,2.018839301309988,0.0
traffic,traffic,middle,0.125,0.8829659548751092,0.9025706370123264,2.91815542464338,1.0443199773426384,1.031264267943568,0.8927570555926948,0.8829659548751092,0.8829659548751092,0.8837030442187918,0.9025706370123264,0.6807652094894162,0.8829659548751092,0.8829659548751092,0.7311197916666666,2.2486027983723367,0.005208333333333333
traffic,traffic,middle,0.25,0.9385380784101617,0.9620128204275294,2.91815542464338,1.0443199773426384,1.0679395692402667,0.9338201688388347,0.9385380784101617,0.9385380784101617,0.9611266640405444,0.9620128204275294,0.7132592987246672,0.9385380784101617,0.9385380784101617,0.7098524305555555,2.3360955239257906,0.0
traffic,traffic,middle,0.5,0.9242616490759691,0.9671823857759329,2.91815542464338,1.0443199773426384,0.9476656295092449,0.8829732656413186,0.9242616490759691,0.9242616490759691,0.9307459614875895,0.9671823857759329,0.6855614742071757,0.9242616490759691,0.9242616490759691,0.7432725694444445,2.481286205068292,0.0
traffic,traffic,random,0.125,0.7425713165453878,0.696458356524214,2.880452552979248,1.093348451840791,0.971347731412394,0.8058813119974931,0.7425713165453878,0.7425713165453878,0.7450015631470671,0.696458356524214,0.6130095113961515,0.7425713165453878,0.7425713165453878,0.826171875,2.5932711140961455,0.003472222222222222
traffic,traffic,random,0.25,0.9248339531944914,0.7720867919207759,2.8682553408114027,1.1350238587122832,0.9773379841454433,0.8991869045811627,0.9248339531944914,0.9248339531944914,0.8749526444644052,0.7720867919207759,0.6968133204628107,0.9248339531944914,0.9248339531944914,0.8226273148148148,3.053600958393659,0.001736111111111111
traffic,traffic,random,0.5,1.343280300873285,0.9190227898464509,2.8238398864689507,1.2172285259625992,1.0159242264815513,1.103995581322251,1.343280300873285,1.343280300873285,1.315607236468474,0.9190227898464509,0.8778996068282647,1.343280300873285,1.343280300873285,0.7517361111111112,3.45989536091395,0.0
traffic,traffic,tail,0.125,0.8445929844296848,0.844743570651898,2.7580130333889055,1.45522611578333,1.0092097066557424,0.8767883075850721,0.8445929844296848,0.8445929844296848,0.8407300752798901,0.844743570651898,0.6866125932025099,0.9540405914829564,0.9852294460352199,0.7986111111111112,2.5881288014877804,0.0
traffic,traffic,tail,0.25,0.7625244819081916,0.844654134716733,2.9755197944638776,1.4027549096079561,0.9637750865773689,0.8269445215076175,0.7625244819081916,0.7625244819081916,0.784618467379238,0.844654134716733,0.6602084934033966,0.82209596122471,0.8477635715129517,0.8118489583333334,2.461327855443597,0.0
