dataset,domain,family,rate,mase_native,mase_phase_filled,mase_persistence,mase_seasonal_last,mase_seasonal_median,mase_equal_ensemble,mase_gate_rate,mase_gate_uncertainty,mase_gate_full,mase_source_best_fixed,mase_oracle_pair,mase_replay_clean,mase_replay_matched,coverage80,width80_scaled,quantile_crossing
electricity,electricity,middle,0.5,1.085353583449628,1.0845553362531706,5.869465392772437,1.100852109984751,1.2294166647093556,1.088491368950906,1.085353583449628,1.085353583449628,1.0854138460948037,1.085353583449628,0.9573088165582341,1.085353583449628,1.085353583449628,0.8270399305555555,3.484318468445767,0.0
electricity,electricity,random,0.125,1.0904561138558977,1.0501068181306286,5.861541403211006,1.1332594451422182,1.2918598694195647,1.1249185290803143,1.0904561138558977,1.0904561138558977,1.0903309870740505,1.0904561138558977,0.9864141941016535,1.0904561138558977,1.0904561138558977,0.8540219907407408,3.992431481875624,0.0
electricity,electricity,random,0.25,1.1528294285222338,1.0839928629750073,5.869092728121453,1.1795173510860713,1.3020139322514774,1.1592718763919434,1.1528294285222338,1.1528294285222338,1.1531681515806127,1.1528294285222338,1.0324080750388434,1.1528294285222338,1.1528294285222338,0.874927662037037,4.744355250626657,0.0
electricity,electricity,random,0.5,1.3374866649947694,1.1924404845401069,5.854384159147212,1.2463558061459916,1.3360854705865122,1.2388233047865682,1.3374866649947694,1.3374866649947694,1.3334618396135078,1.3374866649947694,1.1213244107594884,1.3374866649947694,1.3374866649947694,0.8939525462962963,6.16980971650103,0.0
electricity,electricity,tail,0.125,1.2729711964640598,1.374008565568161,5.552793854336007,1.437096671954306,1.3707376089942622,1.281168141095656,1.2729711964640598,1.2729711964640598,1.2729711964640598,1.2729711964640598,1.1722547808077202,1.2919171847866784,1.30738391221666,0.7736545138888888,3.8403704904108733,0.005208333333333333
electricity,electricity,tail,0.25,1.4420297973011647,1.4367236238617884,6.140330041920616,1.5747173342703686,1.4520545743800668,1.4102354059087905,1.4420297973011647,1.4420297973011647,1.4420297973011647,1.4420297973011647,1.3094935409921264,1.4134848826672215,1.4811461165037894,0.7532552083333334,3.940886635701044,0.005208333333333333
electricity,electricity,tail,0.5,1.6690047258003113,1.6515327680802392,5.918510005037373,1.601458440340993,1.6133078489039618,1.5939712662590804,1.6690047258003113,1.6690047258003113,1.6690047258003113,1.6690047258003113,1.4777238162981199,1.611905089902571,1.6954397985997236,0.740234375,4.165384338431303,0.0
traffic,traffic,clean,0.0,0.5844710898924859,0.5844710898924859,2.91815542464338,1.0443199773426384,0.9673874733313683,0.7177844210588549,0.5844710898924859,0.5935596373518633,0.5918790181975465,0.5844710898924859,0.5435132710778879,0.5844710898924859,0.5844710898924859,0.8595920138888888,1.915404614526303,0.07291666666666667
traffic,traffic,middle,0.125,0.6237453137881569,0.6639788851577028,2.91815542464338,1.0443199773426384,1.031264267943568,0.772325717384981,0.6237453137881569,0.6301939513058804,0.6297858251120374,0.6639788851577028,0.579267671333012,0.6237453137881569,0.6237453137881569,0.85546875,2.0335189612355,0.052083333333333336
traffic,traffic,middle,0.25,0.6554332035627296,0.7527526645759054,2.91815542464338,1.0443199773426384,1.0679395692402667,0.8020924847948848,0.6554332035627296,0.6762626671622766,0.6591797578627038,0.7527526645759054,0.5930349984062887,0.6554332035627296,0.6554332035627296,0.8587239583333334,2.1359701949008065,0.0625
traffic,traffic,middle,0.5,0.6850007064059492,0.7661888382033385,2.91815542464338,1.0443199773426384,0.9476656295092449,0.7642970988882539,0.6850007064059492,0.6904951549092945,0.6950240534119021,0.7661888382033385,0.6092020193623634,0.6850007064059492,0.6850007064059492,0.8786892361111112,2.4181219712221655,0.041666666666666664
