Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/runner/work/future/future/workspaces/skyfold-dock/output/r04c-final/source/skyfold-r04c.blend"
Fra:1 Mem:191.15M (Peak 191.15M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Continuous inhabited ring shell
Fra:1 Mem:221.35M (Peak 221.35M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R04C transit median.019
Fra:1 Mem:222.03M (Peak 222.03M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R04C city transit right of way.020
Fra:1 Mem:222.01M (Peak 222.03M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R04C transit median.020
Fra:1 Mem:223.27M (Peak 223.27M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R04C city transit right of way.021
Fra:1 Mem:223.77M (Peak 223.77M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R04C transit median.021
Fra:1 Mem:224.39M (Peak 224.39M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 neighbourhood 000
Fra:1 Mem:224.96M (Peak 224.96M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 neighbourhood 001
Fra:1 Mem:225.36M (Peak 225.36M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 neighbourhood 002
Fra:1 Mem:225.77M (Peak 225.77M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 neighbourhood 003
Fra:1 Mem:226.31M (Peak 226.31M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Continuous guardrail.002
Fra:1 Mem:226.37M (Peak 226.37M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Continuous guardrail.003
Fra:1 Mem:226.45M (Peak 226.45M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 neighbourhood 007
Fra:1 Mem:226.48M (Peak 226.48M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Cart wheel rubber
